Date,NULL,304,240,303,15,241,8,250,115,5,175,134,156,243,242,3,105,40,147,306,184,96,2,127,95,146,9,177,6,143,244,149,167,300,171,305,67,196,152,142,261,104,36,26,29,258,110,71,181,88,251,275,69,248,208,256,314,126,281,273,253,185,330,334,328,326,321,324,313,38,155,68,335,308,332,94,348,310,339,375,66,327,387,298,91,245,385,257,393,168,405,249,315,75,128,307,11,436,1,201,183,223,368,336,291,464,411,481,10,154,468,410,390,440,495,492,493,434,57,531,420,483,526,472,429,16,446,34,78,139,252,270,47,114,301,193,182,135,350,195,352,355,159,363,384,360,331,367,64,406,163,414,333,427,431,430,426,438,433,418,441,282,432,72,450,180,454,455,59,451,254,358,469,165,467,510,337,476,502,527,479,508,535,302,497,187,13,7,27,14,22,17,28,42,20,19,45,37,61,39,21,24,41,50,30,54,52,12,44,31,83,32,63,60,55,56,89,87,118,86,85,210,214,129,179,138,174,170,153,93,151,119,35,173,58,53,133,79,235,192,191,236,162,215,157,287,132,234,98,77,103,107,262,220,121,205,378,23,296,290,229,33,286,276,425,484,323,403,219,394,509,111,423,4,70,82,81,74,92,99,90,112,117,106,148,158,144,211,213,216,232,150,267,227,247,278,280,285,289,269,295,265,288,122,294,325,341,344,346,359,283,364,370,371,25,141,391,397,416,404,299,197,73,354,444,408,461,388,453,459,474,475,480,449
2016-12-06,383,0,174,0,11,23,21,30,0,0,2,40,0,0,10,0,0,0,1,0,1,1,0,0,0,4,559,2,12,0,0,0,0,0,2,0,0,3,3,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,13,1,0,0,17,0,3,0,0,0,0,0,0,30,1,0,0,0,0,2,0,0,2,3,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,18,0,34,0,0,0,0,4,0,18,0,8,4,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,40,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,3,64,10,0,63,1,40,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,23,0,0,0,0,2,4,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-13,279,0,171,0,7,22,23,31,0,0,0,40,0,0,4,0,0,0,1,0,0,1,0,0,0,2,608,6,15,0,0,0,0,0,1,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,17,0,3,0,0,0,0,0,0,63,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0,3,0,20,0,0,3,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,40,3,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,2,58,10,0,41,1,40,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,33,0,0,0,0,2,3,0,0,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-20,220,0,207,0,5,35,17,33,1,0,0,0,0,0,7,0,0,1,0,1,1,0,0,0,0,2,505,6,23,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,3,0,0,0,0,0,0,33,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,34,0,0,0,0,1,0,10,0,0,2,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,56,8,0,36,3,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,2,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-27,198,0,277,0,3,36,16,42,1,2,1,0,1,0,14,8,0,1,3,1,2,0,0,0,0,2,546,1,21,0,0,0,0,0,6,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,35,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,3,34,0,0,0,0,0,0,15,0,0,1,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,2,52,10,1,24,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0,3,0,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-03,319,0,276,0,2,22,25,54,1,12,4,0,1,0,24,29,0,0,3,0,1,0,0,0,0,1,775,2,17,0,0,0,0,0,5,0,0,1,2,0,0,17,0,1,0,0,0,0,3,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,35,0,0,0,0,0,0,16,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,4,49,7,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,16,0,0,0,0,0,2,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-10,381,0,211,0,11,17,22,53,2,10,3,0,0,0,17,21,0,0,1,2,0,0,0,1,0,0,660,4,16,0,0,0,0,0,5,0,0,1,2,0,0,17,0,1,0,0,0,0,11,1,0,0,0,0,0,0,17,0,0,0,0,0,27,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35,0,0,0,0,0,0,7,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3,45,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,10,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-17,492,0,178,0,11,25,12,44,1,0,0,0,0,0,8,0,0,0,1,2,0,0,0,1,0,1,445,5,15,0,0,0,0,0,7,0,0,3,2,0,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,15,0,0,0,0,0,27,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,36,0,0,0,0,0,0,3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2,56,4,0,4,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,2,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-24,476,0,168,0,1,21,14,37,0,1,0,0,0,0,8,0,0,2,0,0,1,9,0,1,0,3,455,4,13,0,0,0,0,0,94,0,0,2,5,0,0,0,0,0,6,0,0,0,1,2,0,0,0,0,0,0,7,0,0,9,0,0,0,0,0,80,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,37,0,0,0,0,0,0,3,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1,63,5,0,10,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,4,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-31,327,0,227,0,2,31,10,38,0,1,1,0,0,0,8,0,0,7,0,0,2,9,0,1,1,3,394,4,16,0,0,0,0,0,97,0,0,0,6,0,1,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,16,0,0,9,0,0,0,0,0,160,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,19,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,74,1,45,7,0,25,2,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,9,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2017-02-07,377,0,245,0,2,33,9,43,0,0,1,0,0,0,24,2,0,6,0,0,1,0,0,0,3,2,416,7,14,0,0,0,0,0,12,0,0,2,1,0,1,0,0,2,70,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,0,3,0,0,80,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,76,1,52,7,0,34,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2017-02-14,294,0,260,0,1,28,17,59,0,0,0,0,0,0,25,67,0,8,0,0,0,3,0,0,4,4,593,10,12,0,0,0,0,0,16,0,0,2,38,0,0,0,0,4,70,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,6,0,0,0,0,0,0,0,32,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,3,35,0,0,0,0,1,0,3,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,91,2,82,7,1,49,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,2,0,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-21,381,0,281,0,1,32,17,79,0,1,0,0,0,0,15,68,0,18,1,0,2,4,0,0,3,4,625,7,19,0,0,0,0,0,12,0,0,2,38,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,3,0,0,0,0,0,0,0,31,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,3,0,0,0,4,35,0,0,0,0,0,0,6,0,0,2,0,2,1,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,100,3,82,5,1,64,3,0,35,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,2,0,0,6,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-28,478,0,284,0,1,34,9,84,0,1,0,0,0,0,10,3,0,16,1,0,2,5,0,0,2,2,627,7,15,0,0,0,0,0,10,0,0,4,6,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,4,35,0,0,0,0,0,0,7,0,0,6,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,79,5,66,10,0,51,1,0,35,0,0,0,0,0,0,0,0,161,0,2,0,0,0,11,0,0,0,0,0,2,0,0,3,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017-03-07,537,0,223,0,4,26,20,65,0,0,1,0,0,0,5,0,0,6,1,0,1,6,0,0,2,3,685,6,7,0,0,0,0,0,8,0,0,3,6,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,17,0,0,0,0,0,0,0,0,0,0,1,35,0,0,25,1,0,0,0,0,0,0,0,42,0,0,0,0,0,2,0,0,0,4,0,0,0,3,34,0,0,0,0,0,0,6,0,0,6,0,0,0,0,35,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,111,7,73,16,0,41,3,0,0,0,44,0,0,0,0,0,0,161,0,7,0,0,0,11,0,0,0,0,0,1,0,0,1,22,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2017-03-14,492,0,171,0,5,13,29,47,0,0,1,0,0,0,11,0,0,3,1,0,1,22,0,1,1,4,642,18,5,0,0,0,0,0,2,0,28,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,17,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,21,0,0,73,0,0,0,0,0,4,0,0,0,8,0,0,0,1,45,0,0,0,0,0,0,5,0,0,4,43,3,0,0,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,25,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,134,6,76,19,0,52,4,0,0,0,44,0,0,0,0,0,0,0,0,6,0,0,10,18,0,0,0,0,48,1,0,0,3,14,1,0,0,0,7,0,0,0,0,0,0,0,0,20,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2017-03-21,379,0,177,0,3,12,28,38,0,0,0,0,0,0,15,0,0,3,1,0,0,23,0,1,0,5,645,38,5,0,0,0,0,0,1,0,28,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,15,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,23,0,0,31,7,0,0,0,0,6,0,0,0,10,0,0,0,0,45,0,0,0,0,0,0,11,0,0,2,43,6,0,0,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,10,81,20,0,54,2,18,0,0,42,0,0,15,0,0,0,0,0,1,0,0,10,11,0,0,0,0,48,1,0,0,62,10,3,1,0,0,7,0,0,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,4,0,0,0,0,3,27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
2017-03-28,296,0,148,0,3,11,28,31,0,0,0,0,0,0,9,0,0,2,1,0,1,4,0,2,2,5,664,22,22,0,0,0,0,0,72,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,27,1,0,33,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,7,0,0,0,0,4,0,0,0,2,0,0,16,3,34,0,0,0,0,0,0,22,0,0,2,0,3,0,0,4,50,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,111,13,70,10,0,37,5,19,0,0,87,0,0,15,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,64,19,2,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,3,0,0,0,0,1,27,1,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2017-04-04,251,0,187,0,2,25,27,50,0,3,2,0,0,0,5,0,0,18,3,0,6,1,0,5,4,3,682,1,29,0,0,0,0,0,77,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,32,0,0,18,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,16,4,34,0,0,0,0,0,0,14,0,0,4,0,0,0,0,0,50,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,95,11,71,4,0,44,7,21,0,0,88,0,0,2,0,0,0,0,0,2,0,0,0,17,0,0,0,0,35,1,0,0,4,19,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,42,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-11,476,0,273,0,2,42,30,67,0,8,3,1,0,0,6,0,0,40,3,0,5,0,0,4,2,2,824,0,11,0,0,0,0,0,5,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,5,0,0,0,3,0,0,1,1,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,28,10,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,90,6,108,2,0,59,7,20,0,0,43,0,0,22,0,0,0,0,0,2,0,0,0,20,0,0,0,0,35,1,0,0,0,12,0,0,0,0,2,0,34,0,0,0,0,0,0,34,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,0,0,21,2,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-18,399,0,384,0,4,46,32,70,0,7,1,1,0,0,13,7,0,44,1,0,2,4,20,1,0,1,977,2,16,0,0,0,0,0,3,0,0,5,3,0,0,1,0,0,0,0,0,0,3,1,8,0,0,0,0,0,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,1,0,0,0,0,4,0,0,0,0,0,0,1,0,50,0,0,0,0,0,0,0,0,0,2,1,4,1,0,0,0,28,34,0,0,0,1,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2,104,0,0,39,10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,0,2,12,0,0,0,0,8,0,34,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,7,0,0,0,0,37,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
